"scenario_id","rep","seed","n","shape","kappa","maturity","injection","truth_A","truth_B","truth_C","event_rate","cens_rate","ibs","eval_weight_unstable","tau_used","km_at_tau","s_true_at_tau","km_bias","pos_covers_truth","pos_interval_lo","pos_interval_hi","pos_interval_width","pos_flag_codes","pos_worst_level","rho_instability","rho_maturity","model_disagreement","ext_perf_level","ext_perf_code","ext_root_codes","eval_flag_codes","overall_level","overall_code","psa_strategy","error"
"G_ph_k0.6_m0.8",1,794222676,200,"ph",0.6,0.8,"gauss_copula",FALSE,TRUE,FALSE,0.545,0.455,0.256070138549174,0,6.979935,0.700398184414515,0.711149406483821,-0.0107512220693059,1,0.677925859321236,0.749989746070064,0.0720638867488275,"SPARSE_TAIL_RISKSET","yellow",0.06839447804171,0.0402369210262965,0.0042310346520247,"green","ALL_CLEAR","","","green","ALL_CLEAR","standard_tsd14","none"
"G_ph_k0.6_m0.8",2,794263179,200,"ph",0.6,0.8,"gauss_copula",FALSE,TRUE,FALSE,0.56,0.44,0.285391064292751,1,6.0727525,0.705315067010655,0.743210514120204,-0.0378954471095491,1,0.678100154713028,0.756584083161033,0.0784839284480048,"SPARSE_TAIL_RISKSET","yellow",0.0894837827421483,0.0479080664554945,0.0117822899198649,"green","ALL_CLEAR","","IPCW_WEIGHT_INSTABILITY","green","ALL_CLEAR","standard_tsd14","none"
"G_ph_k0.6_m0.8",3,794303682,200,"ph",0.6,0.8,"gauss_copula",FALSE,TRUE,FALSE,0.625,0.375,374.697183129982,1,6.895656,0.662106289489902,0.714066878697865,-0.0519605892079626,0,0.637806903871114,0.713242012248138,0.0754351083770239,"SPARSE_TAIL_RISKSET","yellow",0.12961648678224,0.0156041919782158,0.00696511576563302,"yellow","EXTRAP_INSTABILITY","EXTRAP_INSTABILITY","IPCW_WEIGHT_INSTABILITY","yellow","EXTRAP_INSTABILITY","structural_mixture_psa","none"
"G_ph_k0.6_m0.8",4,794344185,200,"ph",0.6,0.8,"gauss_copula",FALSE,TRUE,FALSE,0.63,0.37,830.483284361751,1,6.996049,0.67045128601415,0.710592992714285,-0.0401417067001342,1,0.645090138240219,0.723390026151186,0.0782998879109672,"SPARSE_TAIL_RISKSET","yellow",0.018493908883684,0.044934234868688,0.000835900598697371,"green","ALL_CLEAR","","IPCW_WEIGHT_INSTABILITY","green","ALL_CLEAR","standard_tsd14","none"
"G_ph_k0.6_m0.8",5,794384688,200,"ph",0.6,0.8,"gauss_copula",FALSE,TRUE,FALSE,0.605,0.395,0.24670889734003,1,6.964208,0.675801490643535,0.711692890650218,-0.035891400006683,1,0.656257640064316,0.721646914474524,0.0653892744102076,"SPARSE_TAIL_RISKSET","yellow",0.12844814399132,0.00662080739484461,0.0114692394443624,"yellow","EXTRAP_INSTABILITY","EXTRAP_INSTABILITY","IPCW_WEIGHT_INSTABILITY","yellow","EXTRAP_INSTABILITY","structural_mixture_psa","none"
