"scenario_id","rep","seed","n","pkg_version","shape","kappa","maturity","injection","truth_A","truth_B","truth_C","event_rate","cens_rate","ibs","eval_weight_unstable","tau_used","km_at_tau","s_true_at_tau","km_bias","pos_covers_truth","pos_interval_lo","pos_interval_hi","pos_interval_width","pos_flag_codes","pos_worst_level","rho_instability","rho_maturity","model_disagreement","ext_perf_level","ext_perf_code","ext_root_codes","eval_flag_codes","overall_level","overall_code","psa_strategy","config_version","error"
"G_late_k0.0_m0.6",60,812892726,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.5,0.5,10.6864497044989,1,6.1189415,0.73550844774387,0.712039374794887,0.0234690729489836,1,0.695428083086846,0.800906688303793,0.105478605216946,"","green",0,0.290489624441744,0.0271070433765431,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",61,1319844841,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.521,0.479,9.66668460527211,1,5.621101,0.726226752957975,0.735745537836231,-0.00951878487825653,1,0.685182412908021,0.793039359780399,0.107856946872377,"","green",0,0.275897697369994,0.0410596434961942,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",62,1826796956,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.509,0.491,28155.8624332813,1,5.944372,0.730043006656626,0.720314570253131,0.00972843640349497,1,0.691396504005588,0.795731372548303,0.104334868542715,"","green",0,0.285007091906228,0.0203625481330017,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",63,186265424,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.511,0.489,13.8206750876458,1,5.551715,0.731844124102334,0.739074349568634,-0.00723022546629948,1,0.689296358910681,0.798743063451511,0.109446704540829,"","green",0,0.33982137323713,0.019715890374011,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",64,693217539,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.519,0.481,10.7705502209198,1,5.716124,0.727959642413588,0.7311960729471,-0.00323643053351241,1,0.684511626790698,0.79563765609104,0.111126029300343,"","green",0,0.295735344537861,0.019879776102351,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",65,1200169654,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.524,0.476,27851.4731602703,1,5.7944495,0.725140311794911,0.72745441170842,-0.00231409991350839,1,0.683190685895157,0.79286771261,0.109677026714843,"","green",0,0.273219555442642,0.0356803358305215,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",66,1707121769,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.53,0.47,10.7071088765008,1,5.5972925,0.721211095957329,0.736887123507081,-0.0156760275497519,1,0.678187981243617,0.789778857616263,0.111590876372647,"","green",0,0.310512279209225,0.0535546109250158,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",67,66590237,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.523,0.477,11.0518975233726,1,5.660019,0.722434974911484,0.73388092109863,-0.011445946187146,1,0.680284767681329,0.790564508987188,0.110279741305859,"","green",0,0.280313851254386,0.0271846919643853,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",68,573542352,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.511,0.489,29662.7590198196,1,5.414654,0.729347030937104,0.745665922301979,-0.0163188913648747,1,0.687840426479741,0.79633986892501,0.108499442445269,"","green",0,0.28660330283079,0.0488044219370871,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
"G_late_k0.0_m0.6",69,1080494467,1000,"0.0.3","late",0,0.6,"gauss_copula",FALSE,FALSE,FALSE,0.511,0.489,28795.9148022153,1,5.93746,0.729176377535659,0.720643088492717,0.00853328904294259,1,0.689009612408235,0.795801350927149,0.106791738518914,"","green",0,0.303056812563567,0.0457841639223551,"yellow","PARTIAL_MATURITY","PARTIAL_MATURITY","IPCW_WEIGHT_INSTABILITY","yellow","PARTIAL_MATURITY","structural_mixture_psa","0.1.0","none"
